date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2022-09-02,1586.17,1586.17,1650.0,1650.0,1546.41,1546.41,1575.35,1575.35,919009.6598,919009.6598
2022-09-01,1554.11,1554.11,1599.0,1599.0,1512.77,1512.77,1586.16,1586.16,728710.482,728710.482
2022-08-31,1524.59,1524.59,1619.78,1619.78,1524.59,1524.59,1554.1,1554.1,949227.6775,949227.6775
2022-08-30,1551.79,1551.79,1606.13,1606.13,1473.61,1473.61,1524.59,1524.59,1003075.0172,1003075.0172
2022-08-29,1426.76,1426.76,1559.99,1559.99,1422.08,1422.08,1551.8,1551.8,826252.0831,826252.0831
2022-08-28,1491.06,1491.06,1511.0,1511.0,1424.0,1424.0,1426.76,1426.76,544846.4486,544846.4486
2022-08-27,1508.18,1508.18,1518.42,1518.42,1447.52,1447.52,1491.06,1491.06,756136.6768,756136.6768
2022-08-26,1695.11,1695.11,1706.45,1706.45,1486.85,1486.85,1508.18,1508.18,1149912.8292,1149912.8292
2022-08-25,1656.56,1656.56,1722.0,1722.0,1653.68,1653.68,1695.11,1695.11,603090.713,603090.713
2022-08-24,1665.4,1665.4,1694.13,1694.13,1604.92,1604.92,1656.56,1656.56,744667.6078,744667.6078
2022-08-23,1624.65,1624.65,1676.07,1676.07,1563.76,1563.76,1665.41,1665.41,940246.932,940246.932
2022-08-22,1618.13,1618.13,1629.72,1629.72,1529.92,1529.92,1624.66,1624.66,941192.8954,941192.8954
2022-08-21,1576.03,1576.03,1646.52,1646.52,1562.34,1562.34,1618.13,1618.13,780662.6062,780662.6062
2022-08-20,1609.0,1609.0,1657.08,1657.08,1523.67,1523.67,1576.04,1576.04,914615.9226,914615.9226
2022-08-19,1846.39,1846.39,1848.0,1848.0,1602.37,1602.37,1609.01,1609.01,1419826.9515,1419826.9515
2022-08-18,1834.24,1834.24,1882.37,1882.37,1821.25,1821.25,1846.39,1846.39,606254.024,606254.024
2022-08-17,1876.67,1876.67,1959.43,1959.43,1818.74,1818.74,1834.25,1834.25,951824.8975,951824.8975
2022-08-16,1899.05,1899.05,1915.0,1915.0,1853.0,1853.0,1876.67,1876.67,622729.1499,622729.1499
2022-08-15,1935.32,1935.32,2012.47,2012.47,1872.31,1872.31,1899.06,1899.06,949162.3305,949162.3305
2022-08-14,1983.55,1983.55,2030.0,2030.0,1906.0,1906.0,1935.31,1935.31,569583.4852,569583.4852
2022-08-13,1958.28,1958.28,2020.0,2020.0,1946.5,1946.5,1983.55,1983.55,695876.0293,695876.0293
2022-08-12,1880.19,1880.19,1964.71,1964.71,1853.06,1853.06,1958.28,1958.28,717628.1015,717628.1015
2022-08-11,1853.58,1853.58,1942.0,1942.0,1850.32,1850.32,1880.19,1880.19,1105261.9009,1105261.9009
